# HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau theta
6.359120882268999412e+04 -3.775527252631930169e+05 5.164983303869082738e+04 7.479912936091086885e+04 -4.935790723821201245e+05 3.038186752596042585e+06 -4.260524499242320657e+06 3.094724161998370546e+05 1.173957521808804944e+06
-3.775527252631930169e+05 1.497261321509725228e+07 -1.190737199285998940e+06 -2.538556274374501314e+06 1.808741803214209899e+07 1.268259563215612024e+08 9.178749323038907349e+07 -1.968376868320386484e+07 -5.583281659392467141e+07
5.164983303869082738e+04 -1.190737199285998940e+06 1.685447534483222989e+05 2.438929692972417688e+05 -1.517741957335422048e+06 7.698416885115049779e+06 -1.361118982730762847e+07 9.371186546874796040e+05 4.114184014019792434e+06
7.479912936091086885e+04 -2.538556274374501314e+06 2.438929692972417688e+05 4.907106706369387684e+05 -3.286236056328394916e+06 -2.317813171875406802e+07 -1.957749765961035341e+07 2.970889195093772374e+06 1.020101337824240886e+07
-4.935790723821201245e+05 1.808741803214209899e+07 -1.517741957335422048e+06 -3.286236056328394916e+06 2.332851124488000572e+07 1.829394848415103853e+08 1.204189141454728097e+08 -2.309520188945044577e+07 -7.221829785396587849e+07
3.038186752596042585e+06 1.268259563215612024e+08 7.698416885115049779e+06 -2.317813171875406802e+07 1.829394848415103853e+08 1.149280012447323799e+10 -7.258033859629898071e+08 -3.199992589653292894e+08 -9.274933397848229408e+08
-4.260524499242320657e+06 9.178749323038907349e+07 -1.361118982730762847e+07 -1.957749765961035341e+07 1.204189141454728097e+08 -7.258033859629898071e+08 1.128705546839457512e+09 -6.595926326866502315e+07 -2.832538057389841676e+08
3.094724161998370546e+05 -1.968376868320386484e+07 9.371186546874796040e+05 2.970889195093772374e+06 -2.309520188945044577e+07 -3.199992589653292894e+08 -6.595926326866502315e+07 3.132052028305966407e+07 7.782504988892161846e+07
1.173957521808804944e+06 -5.583281659392467141e+07 4.114184014019792434e+06 1.020101337824240886e+07 -7.221829785396587849e+07 -9.274933397848229408e+08 -2.832538057389841676e+08 7.782504988892161846e+07 6.082273425816448927e+08
